comune,provincia,type,min_per_m2_cents,max_per_m2_cents,period,basis,zones_used
BERGAMO,BG,apartment,157500,220000,2025S2,zone_median,22
BERGAMO,BG,house,177500,227500,2025S2,zone_median,12
BERGAMO,BG,commercial,145000,205000,2025S2,zone_median,20
BERGAMO,BG,villa,177500,227500,2025S2,zone_median,12
ADRARA SAN MARTINO,BG,apartment,85000,100000,2025S2,zone_median,1
ADRARA SAN MARTINO,BG,house,100000,110000,2025S2,zone_median,1
ADRARA SAN MARTINO,BG,villa,100000,110000,2025S2,zone_median,1
ADRARA SAN MARTINO,BG,commercial,100000,120000,2025S2,zone_median,1
ADRARA SAN ROCCO,BG,apartment,70000,90000,2025S2,zone_median,1
ADRARA SAN ROCCO,BG,house,100000,130000,2025S2,zone_median,1
ADRARA SAN ROCCO,BG,villa,100000,130000,2025S2,zone_median,1
ADRARA SAN ROCCO,BG,commercial,100000,120000,2025S2,zone_median,1
ALBANO SANT`ALESSANDRO,BG,apartment,135000,175000,2025S2,zone_median,1
ALBANO SANT`ALESSANDRO,BG,house,130000,180000,2025S2,zone_median,1
ALBANO SANT`ALESSANDRO,BG,villa,130000,180000,2025S2,zone_median,1
ALBANO SANT`ALESSANDRO,BG,commercial,130000,190000,2025S2,zone_median,1
ALBINO,BG,apartment,115000,160000,2025S2,zone_median,3
ALBINO,BG,house,120000,150000,2025S2,zone_median,4
ALBINO,BG,villa,120000,150000,2025S2,zone_median,4
ALBINO,BG,commercial,135000,190000,2025S2,zone_median,2
ALGUA,BG,apartment,71000,86000,2025S2,zone_median,2
ALGUA,BG,house,82000,120000,2025S2,zone_median,2
ALGUA,BG,villa,82000,120000,2025S2,zone_median,2
ALGUA,BG,commercial,88500,110000,2025S2,zone_median,2
ALME`,BG,apartment,125000,160000,2025S2,zone_median,1
ALME`,BG,house,140000,170000,2025S2,zone_median,1
ALME`,BG,villa,140000,170000,2025S2,zone_median,1
ALME`,BG,commercial,130000,170000,2025S2,zone_median,1
VILLA D`ALME,BG,apartment,125000,147500,2025S2,zone_median,2
VILLA D`ALME,BG,house,160000,190000,2025S2,zone_median,1
VILLA D`ALME,BG,commercial,105000,155000,2025S2,zone_median,2
VILLA D`ALME,BG,villa,160000,190000,2025S2,zone_median,1
ALMENNO SAN BARTOLOMEO,BG,apartment,107500,145000,2025S2,zone_median,2
ALMENNO SAN BARTOLOMEO,BG,house,117500,160000,2025S2,zone_median,2
ALMENNO SAN BARTOLOMEO,BG,villa,117500,160000,2025S2,zone_median,2
ALMENNO SAN BARTOLOMEO,BG,commercial,125000,167500,2025S2,zone_median,2
ALMENNO SAN SALVATORE,BG,apartment,110000,160000,2025S2,zone_median,1
ALMENNO SAN SALVATORE,BG,house,115000,170000,2025S2,zone_median,1
ALMENNO SAN SALVATORE,BG,villa,115000,170000,2025S2,zone_median,1
ALMENNO SAN SALVATORE,BG,commercial,130000,160000,2025S2,zone_median,1
ALZANO LOMBARDO,BG,apartment,115000,150000,2025S2,zone_median,5
ALZANO LOMBARDO,BG,house,160000,180000,2025S2,zone_median,5
ALZANO LOMBARDO,BG,villa,160000,180000,2025S2,zone_median,5
ALZANO LOMBARDO,BG,commercial,145000,190000,2025S2,zone_median,2
AMBIVERE,BG,apartment,85000,105000,2025S2,zone_median,1
AMBIVERE,BG,house,100000,120000,2025S2,zone_median,1
AMBIVERE,BG,villa,100000,120000,2025S2,zone_median,1
AMBIVERE,BG,commercial,90000,130000,2025S2,zone_median,1
ANTEGNATE,BG,apartment,82000,105000,2025S2,zone_median,1
ANTEGNATE,BG,house,90000,115000,2025S2,zone_median,2
ANTEGNATE,BG,villa,90000,115000,2025S2,zone_median,2
ANTEGNATE,BG,commercial,110000,140000,2025S2,zone_median,1
ARCENE,BG,apartment,80000,115000,2025S2,zone_median,1
ARCENE,BG,house,97000,125000,2025S2,zone_median,1
ARCENE,BG,villa,97000,125000,2025S2,zone_median,1
ARCENE,BG,commercial,110000,140000,2025S2,zone_median,1
ARDESIO,BG,apartment,90000,120000,2025S2,zone_median,1
ARDESIO,BG,house,92000,125000,2025S2,zone_median,2
ARDESIO,BG,villa,92000,125000,2025S2,zone_median,2
ARDESIO,BG,commercial,91000,115000,2025S2,zone_median,2
ARZAGO D`ADDA,BG,apartment,85000,105000,2025S2,zone_median,1
ARZAGO D`ADDA,BG,house,96500,120000,2025S2,zone_median,2
ARZAGO D`ADDA,BG,villa,96500,120000,2025S2,zone_median,2
ARZAGO D`ADDA,BG,commercial,90000,140000,2025S2,zone_median,1
AVERARA,BG,apartment,73000,89000,2025S2,zone_median,1
AVERARA,BG,house,82000,120000,2025S2,zone_median,1
AVERARA,BG,villa,82000,120000,2025S2,zone_median,1
AVERARA,BG,commercial,90000,110000,2025S2,zone_median,1
AVIATICO,BG,apartment,90000,110000,2025S2,zone_median,1
AVIATICO,BG,house,110000,130000,2025S2,zone_median,1
AVIATICO,BG,villa,110000,130000,2025S2,zone_median,1
AVIATICO,BG,commercial,100000,130000,2025S2,zone_median,1
AZZANO SAN PAOLO,BG,apartment,120000,155000,2025S2,zone_median,1
AZZANO SAN PAOLO,BG,house,155000,180000,2025S2,zone_median,1
AZZANO SAN PAOLO,BG,villa,155000,180000,2025S2,zone_median,1
AZZANO SAN PAOLO,BG,commercial,120000,170000,2025S2,zone_median,1
AZZONE,BG,apartment,60000,70000,2025S2,zone_median,1
AZZONE,BG,house,70000,80000,2025S2,zone_median,1
AZZONE,BG,villa,70000,80000,2025S2,zone_median,1
AZZONE,BG,commercial,70000,90000,2025S2,zone_median,1
BAGNATICA,BG,apartment,100000,140000,2025S2,zone_median,2
BAGNATICA,BG,house,120000,140000,2025S2,zone_median,1
BAGNATICA,BG,villa,120000,140000,2025S2,zone_median,1
BAGNATICA,BG,commercial,130000,190000,2025S2,zone_median,1
BARBATA,BG,apartment,80000,100000,2025S2,zone_median,1
BARBATA,BG,house,97000,115000,2025S2,zone_median,1
BARBATA,BG,villa,97000,115000,2025S2,zone_median,1
BARBATA,BG,commercial,90000,130000,2025S2,zone_median,1
BARIANO,BG,apartment,76000,94000,2025S2,zone_median,1
BARIANO,BG,house,97000,115000,2025S2,zone_median,1
BARIANO,BG,villa,97000,115000,2025S2,zone_median,1
BARIANO,BG,commercial,90000,130000,2025S2,zone_median,1
BARZANA,BG,apartment,84000,100000,2025S2,zone_median,1
BARZANA,BG,house,90000,120000,2025S2,zone_median,1
BARZANA,BG,villa,90000,120000,2025S2,zone_median,1
BARZANA,BG,commercial,90000,130000,2025S2,zone_median,1
BEDULITA,BG,apartment,73000,86000,2025S2,zone_median,1
BEDULITA,BG,house,75000,110000,2025S2,zone_median,1
BEDULITA,BG,villa,75000,110000,2025S2,zone_median,1
BEDULITA,BG,commercial,80000,100000,2025S2,zone_median,1
BERBENNO,BG,apartment,73000,90000,2025S2,zone_median,1
BERBENNO,BG,house,76000,110000,2025S2,zone_median,1
BERBENNO,BG,villa,76000,110000,2025S2,zone_median,1
BERBENNO,BG,commercial,90000,120000,2025S2,zone_median,1
BERZO SAN FERMO,BG,apartment,70000,90000,2025S2,zone_median,1
BERZO SAN FERMO,BG,house,90000,100000,2025S2,zone_median,1
BERZO SAN FERMO,BG,villa,90000,100000,2025S2,zone_median,1
BERZO SAN FERMO,BG,commercial,90000,130000,2025S2,zone_median,1
BIANZANO,BG,apartment,90000,100000,2025S2,zone_median,1
BIANZANO,BG,house,100000,110000,2025S2,zone_median,1
BIANZANO,BG,villa,100000,110000,2025S2,zone_median,1
BIANZANO,BG,commercial,90000,130000,2025S2,zone_median,1
BLELLO,BG,apartment,70000,80000,2025S2,zone_median,1
BLELLO,BG,house,76000,97000,2025S2,zone_median,1
BLELLO,BG,villa,76000,97000,2025S2,zone_median,1
BLELLO,BG,commercial,80000,100000,2025S2,zone_median,1
BOLGARE,BG,apartment,95000,135000,2025S2,zone_median,1
BOLGARE,BG,house,100000,140000,2025S2,zone_median,1
BOLGARE,BG,villa,100000,140000,2025S2,zone_median,1
BOLGARE,BG,commercial,90000,130000,2025S2,zone_median,1
BOLTIERE,BG,apartment,125000,150000,2025S2,zone_median,1
BOLTIERE,BG,house,120000,160000,2025S2,zone_median,2
BOLTIERE,BG,villa,120000,160000,2025S2,zone_median,2
BOLTIERE,BG,commercial,90000,140000,2025S2,zone_median,1
BONATE SOTTO,BG,apartment,115000,150000,2025S2,zone_median,1
BONATE SOTTO,BG,house,110000,165000,2025S2,zone_median,1
BONATE SOTTO,BG,villa,110000,165000,2025S2,zone_median,1
BONATE SOTTO,BG,commercial,90000,130000,2025S2,zone_median,1
BONATE SOPRA,BG,apartment,130000,175000,2025S2,zone_median,3
BONATE SOPRA,BG,house,115000,170000,2025S2,zone_median,1
BONATE SOPRA,BG,villa,115000,170000,2025S2,zone_median,1
BONATE SOPRA,BG,commercial,90000,130000,2025S2,zone_median,1
BORGO DI TERZO,BG,apartment,90000,100000,2025S2,zone_median,1
BORGO DI TERZO,BG,house,100000,120000,2025S2,zone_median,1
BORGO DI TERZO,BG,villa,100000,120000,2025S2,zone_median,1
BORGO DI TERZO,BG,commercial,90000,130000,2025S2,zone_median,1
BOSSICO,BG,apartment,70000,90000,2025S2,zone_median,1
BOSSICO,BG,house,89500,110000,2025S2,zone_median,2
BOSSICO,BG,villa,89500,110000,2025S2,zone_median,2
BOSSICO,BG,commercial,90000,110000,2025S2,zone_median,1
BOTTANUCO,BG,apartment,100000,150000,2025S2,zone_median,1
BOTTANUCO,BG,house,100000,130000,2025S2,zone_median,1
BOTTANUCO,BG,villa,100000,130000,2025S2,zone_median,1
BOTTANUCO,BG,commercial,90000,130000,2025S2,zone_median,1
BRACCA,BG,apartment,72000,91000,2025S2,zone_median,1
BRACCA,BG,house,81000,120000,2025S2,zone_median,2
BRACCA,BG,villa,81000,120000,2025S2,zone_median,2
BRACCA,BG,commercial,90000,110000,2025S2,zone_median,1
BRANZI,BG,apartment,75000,110000,2025S2,zone_median,1
BRANZI,BG,house,96000,130000,2025S2,zone_median,1
BRANZI,BG,villa,96000,130000,2025S2,zone_median,1
BRANZI,BG,commercial,90000,120000,2025S2,zone_median,1
BREMBATE,BG,apartment,102500,145000,2025S2,zone_median,2
BREMBATE,BG,house,111000,160000,2025S2,zone_median,2
BREMBATE,BG,villa,111000,160000,2025S2,zone_median,2
BREMBATE,BG,commercial,99500,142500,2025S2,zone_median,2
BREMBATE DI SOPRA,BG,apartment,125000,175000,2025S2,zone_median,3
BREMBATE DI SOPRA,BG,house,140000,180000,2025S2,zone_median,3
BREMBATE DI SOPRA,BG,villa,140000,180000,2025S2,zone_median,3
